chunk_id,source_id,url,title,magazine,date,chunk,token_count
08b65ff7a7b5b51f04574f2c2f2859a684a24a76598f7d458f6e63fa0fdca0fb_0_9,08b65ff7a7b5b51f04574f2c2f2859a684a24a76598f7d458f6e63fa0fdca0fb,https://www.nucnet.org/news/kyrgyzstan-6-5-2024,"Gov’t Lifts Uranium Ban, Considers Deployment Of Russia-Supplied Reactor",NucNet,1718323200000,"Bishkek says it is in serious need of ‘alternative sources of revenue’ Kyrgyzstan, which is considering construction of its first nuclear power plant, has lifted a ban on uranium extraction to boost the economy with lawmakers overturning a 2019 law banning the research, exploration and development of uranium reserves, the Kyrgyz parliament said in a statement.  The government has said it is lifting the ban because of a “serious need for alternative sources of revenue”.  Populist president Sadyr Japarov has long called for state-led production in the extractive industries, a policy that he first championed more than a decade ago as an opposition politician. Addressing locals earlier this year in his native Issyk-Kul Province about plans to develop Kyzyl-Ompol – a uranium deposit licensed to a private investor at the time the ban was enforced – Japarov said the site would now be “100%” developed by the state. The lifting of the ban comes as Kyrgyzstan is considering the possibility of deploying a small modular reactor power plant supplied by Russia’s state-owned nuclear corporation Rosatom, according to the central Asian country’s energy minister. Russian official news agency Tass reported minister Taalaibek Ibraev as telling Kyrgyzstan’s parliament that Kyrgyzstan is “studying the options” for building two 55-MW SMR units. In November 2022, the central Asian country signed an agreement with Rosatom to cooperate on nuclear energy, including SMR plants and nuclear infrastructure. AP reported that Kyrgyzstan’s economy suffered during the Covid-19 pandemic. It has also been hit more recently indirectly by Western sanctions on Russia over the Ukraine invasion.  It said Kyrgyzstan still has millions of cubic metres of toxic and radioactive waste left over from Soviet times and the uranium ban was introduced following anti-nuclear protests. ",400
08b65ff7a7b5b51f04574f2c2f2859a684a24a76598f7d458f6e63fa0fdca0fb_10_14,08b65ff7a7b5b51f04574f2c2f2859a684a24a76598f7d458f6e63fa0fdca0fb,https://www.nucnet.org/news/kyrgyzstan-6-5-2024,"Gov’t Lifts Uranium Ban, Considers Deployment Of Russia-Supplied Reactor",NucNet,1718323200000,"Central Asia served as an important source of uranium in the former Soviet Union. According to the European Bank for Reconstruction and Development (EBRD), large amount of radioactively contaminated material was placed in mining waste dumps and tailing sites.  The EBRD said contaminated material is a threat to the environment and the health of the population. The hazards include the possible pollution of ground and surface water in a key agricultural centre of the region. A dedicated environmental remediation account, managed by the EBRD, was established in 2015 at the initiative of the European Union to deal with the legacy of Soviet-era uranium mining in Central Asia.  The EU is the fund’s biggest donor, while contributions have also been made by Belgium, Lithuania, Norway, Spain, Switzerland and the US. Central Asia, including Kyrgyzstan, served as an important source of uranium in the former Soviet Union. Courtesy EBRD. ",189
46ad1d67748ee969493e94e53c13d0c0e57104872d336be62c6d76b0a7b7eb7a_15_24,46ad1d67748ee969493e94e53c13d0c0e57104872d336be62c6d76b0a7b7eb7a,https://www.nucnet.org/news/industry-manifesto-calls-for-action-on-nuclear-from-next-commission-6-4-2024,Industry Manifesto Calls For Action On Nuclear From Next Commission,NucNet,1718236800000,"Sector says it should have access to EU finance and funds Leaders from across the European nuclear industry have published a manifesto outlining their priorities for the new European Commission and calling on the EU to recognise nuclear as a solution to many of the challenges the bloc is facing. Those challenges include climate change, access to affordable energy and security of supply, the manifesto, published on 13 June, says. In the manifesto, nuclear industry leaders call on the next Commission to treat all net-zero technologies equally and implement consistent and coherent policies which facilitate the deployment of nuclear. They call for nuclear to have access to EU funds and finance and want the nuclear fuel cycle listed as an enabling economic activity under the sustainable finance taxonomy.  Enabling economic activities are considered environmentally sustainable taxonomy because they do not substantially contribute to climate change mitigation through their own performance. The manifesto calls on the next Commission to ensure that low-carbon technologies are not discriminated against in taxation policies. It says support and investment is needed in the development of a skilled nuclear workforce.  “Nuclear is a clean and sustainable technology which is why it essential the next Commission treat nuclear on an equal footing with other fossil free technologies” said Yves Desbazeille, director-general of the Brussels-based industry group nucleareurope, which published the manifesto. “Our expectation is that future policy proposals will focus on goals – decarbonisation, competitiveness, energy sovereignty – rather than on specific technologies.” In an interview with NucNet before the manifesto was released, Desbazeille welcomed the outcome of the elections saying it signals “evolution rather than revolution” and support for the sector across parliamentary groups will be higher than before. ",344
46ad1d67748ee969493e94e53c13d0c0e57104872d336be62c6d76b0a7b7eb7a_25_28,46ad1d67748ee969493e94e53c13d0c0e57104872d336be62c6d76b0a7b7eb7a,https://www.nucnet.org/news/industry-manifesto-calls-for-action-on-nuclear-from-next-commission-6-4-2024,Industry Manifesto Calls For Action On Nuclear From Next Commission,NucNet,1718236800000,"With counting finished in 15 of 27 countries for a total of 720 seats in the European Parliament, provisional results show gains for the centre-right European People’s Party (EPP) with 189 seats, an increase of 13 seats, followed by the Socialists and Democrats with 135, down by four seats. Greens across Europe appear to have been one of the main casualties, predicted to lose around 18 seats in the new European Parliament. Most EU countries where the EPP won have plans to expand or build new nuclear units for the first time, including advanced reactors and small modular reactors. Those countries include Poland, Bulgaria, Belgium, Romania, Slovenia, Sweden and Finland. In other EU nuclear countries such as the Netherlands and the Czech Republic, the EPP has come second.  ",170
11e43022cc504bd7aa04b4d1c6d57e15bba90cb3f6bdb63e46d80281ddd23099_29_41,11e43022cc504bd7aa04b4d1c6d57e15bba90cb3f6bdb63e46d80281ddd23099,https://www.nucnet.org/news/parliament-resolution-paves-way-for-establishing-nuclear-energy-legislation-6-4-2024,Parliament Resolution Paves Way For Establishing Nuclear Energy Legislation,NucNet,1718236800000,"Country takes step closer to setting up a regulatory authority Estonia's parliament passed a resolution on Wednesday (12 June) clearing the way for the creation of a Nuclear Energy and Safety Act, which will establish a regulatory body to oversee the safe implementation of nuclear technology in the Baltic country. Public broadcaster ERR reported that the resolution, which is non-binding, received a majority vote with 41 members of the 101-strong national assembly in favour of laying the groundwork for the nuclear energy legislation. Twenty-five members of parliament voted against the resolution and two abstained. ERR said the resolution was based on December 2023 findings from a nuclear energy working group which had confirmed the feasibility of nuclear power in Estonia and outlined a comprehensive plan to integrate it into the national energy framework.  This plan includes a detailed assessment of national security, financial risks, and ownership concerns associated with nuclear energy. In early May, 55 members of Estonian parliament submitted
the draft nuclear energy resolution. According to ERR, supporters of the resolution argue that nuclear power will complement renewable energy sources by providing a stable, continuous generation capacity, thereby reducing the variability in energy production.  Nuclear power is also expected to play a role in achieving Estonia's climate targets, securing long-term energy supply, and stabilising electricity prices. Estonia’s climate strategy includes plans for up to four small modular reactors with the first to be operational around 2035. Privately-owned Estonian company Fermi Energia plans to build at least two SMRs in Estonia using GE-Hitachi BWRX-300 reactor technology. A spokesperson for Fermi Energia told NucNet in an email that the company welcomes the parliament’s resolution but “there is a lot of work ahead”. Fermi Energia continues to prepare the application for the national designated spatial planning and various works for procurement preparation, training and recruitment of necessary personnel and cooperation with communities, the spokesperson said. ",398
11e43022cc504bd7aa04b4d1c6d57e15bba90cb3f6bdb63e46d80281ddd23099_42_42,11e43022cc504bd7aa04b4d1c6d57e15bba90cb3f6bdb63e46d80281ddd23099,https://www.nucnet.org/news/parliament-resolution-paves-way-for-establishing-nuclear-energy-legislation-6-4-2024,Parliament Resolution Paves Way For Establishing Nuclear Energy Legislation,NucNet,1718236800000,Tallinn considers nuclear power as a possible energy generation option in the mid-2030s. ,19
f6bc5f840208e84a3170065b3e207c3cc925139655864ba9c7685dc8891570af_43_50,f6bc5f840208e84a3170065b3e207c3cc925139655864ba9c7685dc8891570af,https://www.nucnet.org/news/evolution-not-revolution-for-nuclear-as-industry-welcomes-shift-in-right-direction-6-4-2024,Evolution Not Revolution For Nuclear’ As Industry Welcomes Shift In Right Direction,NucNet,1718236800000,"Head of nucleareurope says small modular reactor alliance has already created momentum Brussels-based nuclear industry group nucleareurope has welcomed the outcome of the European elections saying it signals “evolution rather than revolution” and support for the sector across parliamentary groups will be higher than before. The group’s director-general, Yves Desbazeille, told NucNet that technology neutrality in energy sources should be the key prerogative for the newly elected European Commission and lawmakers in the European Parliament when political, regulatory and financial decisions are taken. With counting finished in 15 of 27 countries for a total of 720 seats in the European Parliament, provisional results show gains for the centre-right European People’s Party (EPP) with 189 seats, an increase of 13 seats, followed by the Socialists and Democrats with 135, down by four seats. Greens across Europe appear to have been one of the main casualties, predicted to lose around 18 seats in the new European Parliament. Most EU countries where the EPP won have plans to expand or build new nuclear units for the first time, including advanced reactors and small modular reactors. Those countries include Poland, Bulgaria, Belgium, Romania, Slovenia, Sweden and Finland. In other EU nuclear countries such as the Netherlands and the Czech Republic, the EPP has come second.   Desbazeille said: “I think for me, the general outcome is good, even if there is no revolution. I would say it’s more an evolution than really a revolution.” He said the poor results for the Greens mean they will not be able to bar nuclear in the next Commission. He said: “I think what the Greens want today is really to save the European Green Deal, a set of policy initiatives by the Commission with the overarching aim of making the EU climate neutral in 2050. ",390
f6bc5f840208e84a3170065b3e207c3cc925139655864ba9c7685dc8891570af_51_59,f6bc5f840208e84a3170065b3e207c3cc925139655864ba9c7685dc8891570af,https://www.nucnet.org/news/evolution-not-revolution-for-nuclear-as-industry-welcomes-shift-in-right-direction-6-4-2024,Evolution Not Revolution For Nuclear’ As Industry Welcomes Shift In Right Direction,NucNet,1718236800000,"“I cannot speak in their name, but it’s clear for me that if they want this objective to be pursued, keeping the Green Deal and not, I would say, diluting it in other things, they will have to accept nuclear as part of the solution."" Desbazeille said the European Industrial Alliance on Small Modular Reactors, which was officially launched by the Commission on 29 May, has created political momentum.  “For the first time, the EC has taken a positive step to nuclear, so this represents support for the technologies,” Desbazeille added. “It helps countries to remove the barriers against deployment, so the scale [of unit production] is available, while the licensing process has got a European approach, with regulators getting together at an early stage,” he said. Removing barriers to SMR finance is a step in the right direction, according to Desbazeille. “The SMRs face a common issue, as first-of-a-kind they will be expensive, but the market is wide enough to trigger manufacturing processes to lower the cost per unit,” he said. “Today there is a race for any developer and vendor to get enough prospects for 30 units, and in the West, only Europe has got this market,” Desbazeille noted. “We do not know which technology will prevail, but advanced reactor technology will benefit the nuclear power industry as a whole. What is certain that we have to be sure to promote the benefit to the nuclear industry.” Yves Desbazeille said technology neutrality in energy sources should be the key prerogative. ",330
2a4e9d1af93764bd747f1956de6544aeea985a53c8a286d2b1bd3f10622bf018_60_68,2a4e9d1af93764bd747f1956de6544aeea985a53c8a286d2b1bd3f10622bf018,https://www.nucnet.org/news/as-nuclear-phaseout-plans-remain-in-place-bureau-warns-brussels-will-not-meet-targets-6-3-2024,"As Nuclear Phaseout Plans Remain In Place, Bureau Warns Brussels Will Not Meet Targets",NucNet,1718150400000,"Industry group calls on government to scrap plans to shut downs reactors Belgium, which is phasing out its nuclear power plants, will not meet European targets for renewable energy and greenhouse gas emission reductions by 2030, even if the key policy measures are implemented, the independent Federal Planning Bureau has warned. The European target is to increase the share of renewable energy in Belgium to at least 32% by 2030, but Belgium’s current policies predict this share will only reach 24%. Additionally, Belgium will fall short of the goal to reduce greenhouse gas emissions by 47% compared to 2005 levels. Some sectors, such as residential and services, will make significant progress, achieving reductions of 54% and 62%, respectively. However, the transport sector will only see a modest reduction of 11%, partly due to the slow transition from fossil fuels in this sector.  In the longer term, Belgium’s emissions will decline more slowly, partially due to the delayed phaseout of carbon-based energy in industry and electricity production.  “By 2050, these sectors would still be significantly using fossil fuels. This indicates the need for either stringent pricing in the emissions trading system or an incentive-based policy focused on emission-free technologies,” the planning bureau said. Belgium plans to revise its energy mix, relying more on wind, solar, and gas. Nuclear energy and bioenergy are set to be phased out according to current legislation. This is despite prime minister Alexander De Croo’s recently support of nuclear energy. In March, he hosted the first Nuclear Energy Summit in Brussels, emphasising the importance of nuclear power for achieving energy security and climate goals.  However, the phaseout legislation has been championed by his party for over two decades and the plan to gradually reduce nuclear energy production remains, with the last two nuclear power plants scheduled to shut down by 2035. Nuclear production will primarily be replaced by wind power.  ",389
2a4e9d1af93764bd747f1956de6544aeea985a53c8a286d2b1bd3f10622bf018_69_75,2a4e9d1af93764bd747f1956de6544aeea985a53c8a286d2b1bd3f10622bf018,https://www.nucnet.org/news/as-nuclear-phaseout-plans-remain-in-place-bureau-warns-brussels-will-not-meet-targets-6-3-2024,"As Nuclear Phaseout Plans Remain In Place, Bureau Warns Brussels Will Not Meet Targets",NucNet,1718150400000,"At the end of 2023, as a reaction to the war in Ukraine and rising energy prices, the government and nuclear power station operator Engie-Electrabel reached an agreement on operating extensions of 10 years for the country’s two newest reactors, Doel-4 and Tihange-3. The Brussels-based industry association Belgian Nuclear Forum said that in April 2024, 40% of electricity in Belgium came from nuclear power.  It noted that 13% of Belgian electricity is imported.  “This heavy dependence on other countries is far from ideal for our country. That is why we urge the government to scrap the nuclear phaseout and not close more reactors early.” Belgium now has five nuclear plants in commercial operation: Doel-1, Doel-2, Doel-4, Tihange-1 and Tihange-3. Doel-3 was shut down in September 2022 and Tihange-2 in February 2023. A recent Belgian Nuclear Forum poll showed that most Belgians are in favour of maintaining the operation of existing nuclear reactors for as long possible while also calling for the construction of new plants, in particular small modular reactors. The poll also showed that 70% would prefer Doel-4 and Tihange-3 to get extensions of 20 years instead of the 10 years provided for in the current agreement. Belgium currently has five operating reactors, but the number will drop to two in 2025. ",300
